untrustworthy_flag,turnout_2020_binary,voted_biden_2020,voted_trump_2020,age,female,digital_literacy_index,ideo5_linear,pid7_linear,socmed_use_linear,newsint_linear,intuse_linear,race4_Black,race4_Hispanic,race4_Other,educ4_HS or less,educ4_Postgrad,educ4_Some college,region_Northeast,region_South,region_West,presvote16post_condensed_Did Not Vote,presvote16post_condensed_Hillary Clinton,presvote16post_condensed_Other
0,1,0,1,56,1,1.6666666666666667,5.0,5.0,2.0,4.0,4.0,0,0,0,1,0,0,0,0,0,0,0,0
0,1,1,0,65,0,5.0,2.0,1.0,4.0,4.0,4.0,0,0,0,0,0,1,0,0,0,0,1,0
0,1,1,0,64,1,2.3333333333333335,3.0,2.0,1.0,2.0,4.0,0,0,0,1,0,0,0,0,0,0,1,0
0,1,0,1,48,1,3.0,3.0,4.0,4.0,3.0,3.0,0,0,1,0,0,0,0,0,1,0,0,0
0,1,0,1,59,1,4.0,4.0,7.0,2.0,4.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,43,1,1.0,3.0,4.0,3.0,2.0,4.0,0,0,0,0,0,1,0,0,0,1,0,0
0,1,1,0,66,1,4.666666666666667,2.0,1.0,2.0,4.0,4.0,1,0,0,0,0,1,0,1,0,0,1,0
1,1,1,0,63,1,3.6666666666666665,2.0,1.0,2.0,1.0,3.0,0,0,0,0,0,0,0,0,0,0,1,0
0,1,1,0,67,0,4.833333333333333,3.0,3.0,3.0,3.0,4.0,0,0,0,1,0,0,0,0,0,0,1,0
0,1,1,0,64,1,1.5,2.0,3.0,1.0,4.0,4.0,0,0,0,0,0,1,0,0,1,0,1,0
0,1,1,0,23,1,3.0,2.0,1.0,1.0,2.0,1.0,0,0,1,0,1,0,0,0,1,0,1,0
0,1,0,1,56,1,3.8333333333333335,3.0,6.0,3.0,4.0,4.0,0,0,0,0,0,0,0,0,0,1,0,0
1,1,1,0,57,1,5.0,3.0,3.0,6.0,4.0,4.0,0,0,0,0,0,1,0,0,0,0,1,0
0,1,0,1,66,1,3.0,4.0,6.0,2.0,3.0,4.0,0,0,0,0,1,0,0,0,0,1,0,0
0,1,1,0,33,1,3.1666666666666665,1.0,1.0,2.0,4.0,4.0,0,0,0,0,1,0,1,0,0,1,0,0
0,1,1,0,68,0,3.5,2.0,1.0,1.0,4.0,4.0,0,0,0,0,1,0,0,1,0,0,1,0
0,1,1,0,43,0,3.1666666666666665,2.0,2.0,3.0,3.0,4.0,0,0,0,0,1,0,0,0,0,1,0,0
1,1,0,1,73,0,4.333333333333333,5.0,7.0,2.0,4.0,4.0,0,0,0,0,0,1,0,0,0,0,0,0
0,1,1,0,56,0,2.5,3.0,4.0,1.0,4.0,4.0,0,0,0,0,0,0,0,1,0,0,0,0
0,1,1,0,67,1,4.166666666666667,1.0,1.0,3.0,4.0,4.0,0,0,0,0,1,0,0,0,0,0,1,0
0,1,1,0,44,0,5.0,1.0,1.0,1.0,4.0,4.0,0,0,0,0,1,0,0,0,1,0,1,0
1,1,0,1,40,1,2.6666666666666665,3.0,5.0,2.0,4.0,4.0,0,0,0,0,0,1,0,1,0,0,0,1
0,1,0,1,68,1,1.3333333333333333,5.0,7.0,4.0,2.0,4.0,0,0,0,0,0,1,0,1,0,0,0,0
0,1,1,0,60,0,4.666666666666667,2.0,1.0,3.0,4.0,4.0,0,0,0,0,0,1,0,0,1,0,1,0
1,1,1,0,22,0,4.166666666666667,2.0,1.0,2.0,4.0,4.0,0,0,0,0,0,0,0,0,0,0,1,0
0,1,1,0,62,1,2.1666666666666665,2.0,1.0,3.0,4.0,3.0,1,0,0,0,1,0,0,1,0,0,1,0
1,1,1,0,65,1,1.6666666666666667,3.0,3.0,1.0,4.0,4.0,0,0,0,0,0,0,0,1,0,0,1,0
0,1,1,0,45,0,4.166666666666667,2.0,3.0,1.0,3.0,4.0,0,0,0,0,1,0,0,1,0,0,1,0
1,1,0,1,44,0,4.5,3.0,4.0,3.0,4.0,4.0,0,0,0,0,0,0,1,0,0,0,0,0
0,1,1,0,64,1,5.0,1.0,1.0,1.0,4.0,4.0,0,0,0,0,1,0,0,0,1,0,1,0
0,1,1,0,64,1,3.2,3.0,4.0,2.0,4.0,4.0,0,0,0,0,1,0,0,0,0,0,1,0
0,1,1,0,67,0,3.6666666666666665,2.0,3.0,1.0,4.0,4.0,0,0,0,0,0,0,0,1,0,0,1,0
1,1,0,1,71,1,1.1666666666666667,4.0,5.0,1.0,4.0,3.0,0,0,0,0,0,1,0,0,1,0,0,0
1,1,0,1,60,0,4.333333333333333,5.0,6.0,1.0,4.0,4.0,0,0,0,0,0,0,0,1,0,0,0,0
1,1,0,1,59,0,3.6666666666666665,4.0,5.0,1.0,4.0,4.0,0,0,0,0,0,1,0,0,1,0,0,0
0,1,0,1,45,1,3.5,3.0,6.0,1.0,3.0,4.0,0,0,0,0,0,1,0,0,1,0,0,0
1,1,1,0,57,0,3.3333333333333335,1.0,1.0,4.0,4.0,4.0,0,0,0,1,0,0,0,0,0,0,0,1
0,1,1,0,62,1,4.166666666666667,3.0,2.0,2.0,4.0,4.0,0,0,1,0,0,0,1,0,0,0,1,0
0,1,1,0,39,1,1.0,3.0,1.0,1.0,3.0,3.0,0,0,0,0,0,0,0,0,1,0,1,0
0,1,1,0,62,1,2.5,2.0,1.0,6.0,4.0,4.0,0,0,0,0,0,1,1,0,0,0,1,0
0,1,1,0,55,1,4.666666666666667,1.0,1.0,4.0,3.0,4.0,0,0,0,0,0,0,0,0,0,0,1,0
0,1,1,0,54,1,4.333333333333333,3.0,4.0,1.0,3.0,4.0,0,0,1,0,0,0,0,1,0,0,1,0
0,1,1,0,80,1,4.833333333333333,2.0,1.0,1.0,4.0,4.0,0,0,0,0,0,0,0,0,1,0,1,0
0,1,1,0,72,1,4.166666666666667,1.0,3.0,1.0,4.0,4.0,0,0,0,0,1,0,1,0,0,0,1,0
1,1,1,0,42,1,3.6666666666666665,1.0,1.0,3.0,4.0,4.0,0,0,0,0,1,0,0,0,0,0,1,0
0,1,1,0,65,1,3.1666666666666665,3.0,1.0,4.0,4.0,4.0,0,0,0,0,0,0,0,0,0,0,1,0
1,1,0,1,71,0,4.166666666666667,4.0,5.0,1.0,4.0,4.0,0,0,0,0,0,1,0,0,0,0,0,0
0,1,1,0,71,1,4.166666666666667,1.0,1.0,5.0,4.0,4.0,0,0,0,0,0,0,0,0,1,0,1,0
0,1,1,0,54,0,3.0,3.0,3.0,3.0,3.0,4.0,0,0,0,1,0,0,0,1,0,0,1,0
0,1,1,0,51,0,5.0,3.0,3.0,2.0,4.0,4.0,0,0,0,0,0,1,0,0,1,0,1,0
